text,cleaned,length,Model Prediction NLTK,Model Prediction Text Blob,Manual Review,Reviewed (2 is not sure),Final
I also loved the mushrooms that came with my steak.,also love mushroom come steak,5,1,1,1,,1
"There were plenty of people at the bar, but not so many having meals at tables.",plenty people bar not many meal table,7,0,0,0,,0
"I am a Sports bar food convert but, maybe just for HOB.",sport bar food convert maybe hob,6,0,1,TO REVIEW,2,
"I was somewhat looking forward to this dinner, and I was let down.",somewhat look forward dinner let,5,0,1,0,,0
"2.Raspberry ice tea, just because it was the 2nd best thing there.",ice tea best thing,4,1,1,1,,1
"Presentation was brilliant, flavor was excellent as well.",presentation brilliant flavor excellent well,5,1,1,1,,1
I hope to come back here again soon!,hope come back soon,4,1,1,1,,1
Then gets an attitude when we asked her why are you charging us now when there is one fight left.,get attitude ask charge u one fight left,8,0,1,0,,0
after a while of getting all the drinks requested and everyone finally showing up.,get drink request everyone finally show,6,0,1,0,,0
What do you order at a Middle Eastern joint for breakfast?,order middle eastern joint breakfast,5,0,1,TO REVIEW,1,1
Our server was super cute and nice too.,server super cute nice,4,1,1,1,,1
Showed it to the server she told me to hit redeem and that Yelp will do the rest.,show server told hit redeem yelp rest,7,0,1,TO REVIEW,2,
"I was expecting to get snuck for at least $2 per tea drinker, but didn't.",expect get snuck least per tea drinker not,8,0,0,0,,0
"I really like the food, and the service is always good.",really like food service always good,6,1,1,1,,1
"They have some really inspired creations, and it was hard for me to pick between two.",really inspire creation hard pick two,6,1,0,1,,1
I thought being in the dining area was hectic but I thought wrong.,thought din area hectic thought wrong,6,0,0,0,,0
They make me feel like they are doing me a super-exclusive favor if I ask for extra.,make feel like superexclusive favor ask extra,7,1,1,1,,1
"They are called diners, not delis.",call diner not deli,4,0,1,TO REVIEW,2,
Also powerful flavors in the best way possible.,also powerful flavor best way possible,6,1,1,1,,1
"Nice place, good music (later), and overall enjoyed the ambience.",nice place good music later overall enjoy ambience,8,1,1,1,,1
The fact that it can be 100 degrees at 9 PM is very confusing.,fact degree pm confuse,4,0,1,TO REVIEW,1,1
The tomato soup will warm your soul after losing Jr.'s college fund on the Baccarat table.,tomato soup warm soul lose jr college fund baccarat table,10,0,1,TO REVIEW,2,
I don't even know what the management was expecting.,not even know management expect,5,0,1,TO REVIEW,0,0
"The beginning glass to the last glass was perfect, it fit the palette correctly.",begin glass last glass perfect fit palette correctly,8,1,1,1,,1
The hostess promptly seated us at 7:30 pm and just gave us drink menus.,hostess promptly seat u pm give u drink menu,9,0,1,TO REVIEW,1,1
"The cafe was busier than we've ever seen it - and, according to the owner, busier than he's ever seen it either!",cafe busier ever see accord owner busier ever see either,10,0,1,TO REVIEW,2,
Still no LGO burger though and the fries are still weird and eh'.,still lgo burger though fry still weird eh,8,0,0,0,,0
They spent some time and money developing an atmosphere well done...,spent time money develop atmosphere well do,7,1,0,TO REVIEW,1,1
"They were essentially the same dish one with chips, the other with fries.",essentially dish one chip fry,5,0,1,TO REVIEW,2,
The prices for food and drink are pretty good.,price food drink pretty good,5,1,1,1,,1
The witty-ness of the decor and the art and culture this place has are all just extras though....,wittyness decor art culture place extra though,7,0,1,TO REVIEW,1,1
The best part about this buffet was the fountain drink.,best part buffet fountain drink,5,1,1,1,,1
I left wondering what the heck were these guys doing?,left wonder heck guy,4,0,1,TO REVIEW,0,0
Basically these people put a huge downer on an exciting day that should be celebrated.,basically people put huge downer excite day celebrate,8,1,1,1,,1
- A lot of times they serve you your pel'meni in a takeout box whether you're eating in or taking out.,lot time serve pelmeni takeout box whether eat take,9,0,1,TO REVIEW,0,0
"Technically there was no line, but we went back up to the front to wait for a 4th chair at either table.",technically line go back front wait chair either table,9,0,1,TO REVIEW,0,0
The sushi chefs were equally friendly and enthusiastic.,sushi chef equally friendly enthusiastic,5,1,1,1,,1
"First of all, the atmosphere of this place is phenomenal.",first atmosphere place phenomenal,4,0,1,TO REVIEW,1,1
"It was about 96 degrees outside, but sitting in the shade with the misters on, the patio still felt comfortable.",degree outside sit shade mister patio still felt comfortable,9,1,1,1,,1
To me when a shrimp has a very strong fish smell that's bad news.,shrimp strong fish smell bad news,6,0,0,0,,0
I don't know if it's just because I talk a lot or if it's because I'm a naturally loud person.,not know talk lot naturally loud person,7,0,1,TO REVIEW,0,0
This place knows nothing about making a real New York style pizza.,place know nothing make real new york style pizza,9,0,1,TO REVIEW,0,0
With that out of the way: the food was terrific but the service was terrible.,way food terrific service terrible,5,0,0,0,,0
"But, at least the rice was okay, right?",least rice okay right,4,1,1,1,,1
It deserves to survive amidst nearly insurmountable competition.,deserves survive amidst nearly insurmountable competition,6,0,1,TO REVIEW,0,0
And where better located for a pre-Waverley-pick-me-up than DA?,well locate prewaverleypickmeup da,4,1,1,1,,1
plus it's not often i get to eat goat.,plus not often get eat goat,6,0,1,TO REVIEW,0,0
The wait for the food wasn't too long even with how busy it was.,wait food not long even busy,6,0,1,TO REVIEW,0,0
Fell into Bobby's strolling through Kierland on a warm winter evening.,fell bobby stroll kierland warm winter even,7,1,1,1,,1
I'm giving two stars for two reasons.,give two star two reason,5,0,1,TO REVIEW,0,0
"I heard so much about this place, that I had to check it out.",heard much place check,4,0,1,TO REVIEW,2,
I read a lot of positive reviews for their cakes so we decided to get a Haupia cake.,read lot positive review cake decide get haupia cake,9,1,1,1,,1
We waited 15 minutes for a table yesterday.,wait minute table yesterday,4,0,1,TO REVIEW,2,
"For some reason, I envisioned the caramelized onions and roasted tomatoes atop the cheese, but everything was combined.",reason envision caramelize onion roast tomato atop cheese everything combine,10,0,1,TO REVIEW,2,
"I didn't ask for that, I was just polite and they were sorry about the mistake.)",not ask polite sorry mistake,5,0,0,0,,0
"We put the flower, candle, and number on the floor just to make room.",put flower candle number floor make room,7,1,1,1,,1
He said I was supposed to have them and asked if I wanted pickles.,say suppose ask want pickle,5,1,1,1,,1
I told my friend just to say hello and see if anyone answered.,told friend say hello see anyone answer,7,1,1,1,,1
"She ordered the ""spicy baha burger "", and the rosemary /garlic fries w /ice tea.",order spicy baha burger rosemary garlic fry w ice tea,10,0,1,TO REVIEW,2,
"We were wanting to go to Tagliani's, but thought we should try Native New Yorker for once, to see what the hype was about.",want go tagliani thought try native new yorker see hype,10,1,1,1,,1
"From my vantage point, it didn't seem like they handled it all that well.",vantage point not seem like handle well,7,0,1,TO REVIEW,0,0
I even checked their website to check their hours and they should have been open every single time.,even checked website check hour open every single time,9,0,0,0,,0
"They have actually even remodeled, and expanded it since I was a child!",actually even remodel expand since child,6,1,1,1,,1
The hottie and I were livin it up at the Cosmo in Vegas so we thought we would just eat there.,hottie livin cosmo vega thought would eat,7,0,1,TO REVIEW,2,
I have eaten here more than a half dozen times.,eat half dozen time,4,0,0,0,,0
I came to Hillside last night and I can't figure out what all of these positive reviews are about.,come hillside last night can not figure positive review,9,0,1,TO REVIEW,0,0
Heads up it's cash only - but worth a trip to the ATM if need be.,head cash worth trip atm need,6,1,1,1,,1
The food was below Denny's in terms of quality or tastiness.,food denny term quality tastiness,5,0,1,TO REVIEW,0,0
If the place was busy I would be more forgiving but it wasn't.,place busy would forgive not,5,1,1,1,,1
Amazing view of the palms sign on the tower adjacent to ours.,amaze view palm sign tower adjacent,6,1,1,1,,1
The younger kids really enjoyed this place along with the older folks.,young kid really enjoy place along old folk,8,1,1,1,,1
So we quickly flipped our coasters back to red so we could enjoy our feast.,quickly flip coaster back red could enjoy feast,8,1,1,1,,1
It took the host 10 minutes to seat us.,take host minute seat u,5,0,1,TO REVIEW,1,1
Go for their pre fixe meal if it's available as you get more fodder for your dollar.,go pre fixe meal available get fodder dollar,8,0,1,TO REVIEW,2,
I'll start with the things we didnt like so much or found odd.,start thing didnt like much found odd,7,0,1,TO REVIEW,0,0
"However, nothing prepared me for the pending dessert.",however nothing prepared pending dessert,5,0,1,TO REVIEW,0,0
20 mins.... flag someone down to order food!,min flag someone order food,5,0,1,TO REVIEW,2,
Everything I have tried on their menu has been delicious.,everything try menu delicious,4,1,1,1,,1
Everyone is super friendly and they remember your name!,everyone super friendly remember name,5,1,1,1,,1
"the wings are too bready, but the beer is always cold.",wing bready beer always cold,5,0,0,0,,0
"(Or several, depending if it was dinner time.)",several depend dinner time,4,0,1,TO REVIEW,2,
The sole was delicious pan fried.,sole delicious pan fry,4,1,1,1,,1
We ordered honey hot boneless wings that the thought of right now are making my mouth water.,order honey hot boneless wing thought right make mouth water,10,0,1,TO REVIEW,2,
Several slices of tender beef cooked to a perfect medium rare with some tempura mushrooms (?).,several slice tender beef cooked perfect medium rare tempura mushroom,10,1,1,1,,1
Working in Phoenix I decided to stay at the Wild Horse Pass hotel and Casino.,work phoenix decide stay wild horse pas hotel casino,9,0,1,TO REVIEW,2,
I was surprised when hip hop came on and people got down and dirty.,surprised hip hop come people get dirty,7,0,0,0,,0
LOL Decent food but small portions.,lol decent food small portion,5,1,1,1,,1
They have outdoor seating available as well.,outdoor seat available well,4,1,1,1,,1
"Fast, attentive, friendly service.",fast attentive friendly service,4,1,1,1,,1
"- $25.95 Steak Bordelaise (Caramelized onion, red wine sauce) - I liked this better than the other sauce.",steak bordelaise caramelize onion red wine sauce like well sauce,10,1,1,1,,1
"Next course was lobster bisque, which is easiest the best I've ever had!!",next course lobster bisque easy best ever,7,1,1,1,,1
"Check this place out, grab a coffee while you wait, and hope the Matt wants to expand the operation.",check place grab coffee wait hope matt want expand operation,10,1,1,1,,1
I have another groupon so i'm sure i'll hit  Babycakes again but not sure if it's travel worthy.,another groupon sure hit babycakes not sure travel worthy,9,1,1,1,,1
"The taste was rather bland, which wouldn't have been so bad if they didn't sqeak when I chewed them.",taste rather bland would not bad not sqeak chewed,9,1,1,1,,1
The server never came back to check so I was left in a non pleasant situation.,server never come back check left non pleasant situation,9,1,1,1,,1
"My steak was perfectly cooked, silky and tender.",steak perfectly cooked silky tender,5,1,1,1,,1
The workers there did not seem to be concerned about it at all.,worker not seem concerned,4,0,1,TO REVIEW,0,0
"The lines moved very slowly, yet when we finally got in... there were tons of open tables.",line move slowly yet finally get ton open table,9,0,0,0,,0
Wife & I couldn't believe how much we paid for an ok experience.,wife could not believe much paid ok experience,8,1,1,1,,1
This group actually had 2 bungalows right by the private VIP pool area.,group actually bungalow right private vip pool area,8,1,1,1,,1
"The beverages (OJ, milk, coffee, water) all tasted like trash.",beverage oj milk coffee water taste like trash,8,1,1,1,,1
Went in at noon to have lunch at the bar with my best friend.,go noon lunch bar best friend,6,1,1,1,,1
Lots of respect for hard-workers like that.,lot respect hardworkers like,4,1,1,1,,1
"In this area, sometimes simple is better.",area sometimes simple well,4,1,1,1,,1
Note to self - ask for drink prices.,note self ask drink price,5,0,1,TO REVIEW,0,0
"Great food, but couple of pointers.",great food couple pointer,4,1,1,1,,1
He ordered Loco Moco because his Hawaiian bum was craving it but it was a miss.,order loco moco hawaiian bum crave miss,7,0,1,TO REVIEW,2,
The Pork Chop was juicy and tender.,pork chop juicy tender,4,0,1,TO REVIEW,1,1
"Rino D's and I go way back, to right when they first opened.",rino go way back right first open,7,0,1,TO REVIEW,2,
From dressy to gym shorts the atmosphere was off for me.,dressy gym short atmosphere,4,0,1,TO REVIEW,1,1
Best Mexican food in Phoenix.,best mexican food phoenix,4,1,1,1,,1
My boyfriend and I went out for lunch during the workweek (he had off but I had to get back within an hour or so).,boyfriend go lunch workweek get back within hour,8,0,1,TO REVIEW,2,
"but when asked if they sell the bread to go I found out they do, but it's $12 a loaf.",ask sell bread go found loaf,6,0,1,TO REVIEW,1,1
"Overall, I had a good experience and it lived up to the hype!",overall good experience live hype,5,1,1,1,,1
"However, once we ordered our meals, they arrived promptly and were certainly worth the wait.",however order meal arrive promptly certainly worth wait,8,1,1,1,,1
Six bucks per slider.,six buck per slider,4,0,1,TO REVIEW,2,
Nothing was wrong with it I guess it's just me not being a big fan of baby spinach.,nothing wrong guess not big fan baby spinach,8,1,0,TO REVIEW,1,1
The salad had this interesting gingery sauce on it that really packed a punch.,salad interest gingery sauce really packed punch,7,1,1,1,,1
I was told about this class by my favorite Thai joint in Chandler.,told class favorite thai joint chandler,6,1,1,1,,1
He gave a poor representation of what was going on back in the kitchen!,give poor representation go back kitchen,6,0,0,0,,0
I needed to know what the fuss was about and so I gave it a try.,need know fuss give try,5,0,1,TO REVIEW,0,0
"B. or C.  

      A Honda Accord.",b c honda accord,4,0,1,TO REVIEW,2,
"There was so much meat, easy to crack open...",much meat easy crack open,5,1,1,1,,1
"Bad:
- Service: I stepped on and tripped over food that had fallen on the ground about 3 times.",bad service step tripped food fall ground time,8,0,0,0,,0
"First course:
Lobster Bisque - I wanted a huge bowl of this.",first course lobster bisque want huge bowl,7,1,1,1,,1
"I chose to have my birthday dinner at Ocean Prime this year, and what a wonderful dinner it ended up being!",chose birthday dinner ocean prime year wonderful dinner end,9,1,1,1,,1
"If you want a great buffet, go to Wicked Sppon at Cosmopolitan or the Bellagio buffet.",want great buffet go wicked sppon cosmopolitan bellagio buffet,9,1,1,1,,1
Since I know people who were sick from the BBQ Chicken I wouldn't return here.,since know people sick bbq chicken would not return,9,0,0,0,,0
It's too nice of a place to look like a schlub.,nice place look like schlub,5,1,1,1,,1
"The bar was wide open, so we decided to go that route instead.",bar wide open decide go route instead,7,0,0,0,,0
"The dessert was a representation of the perfect creme brûlée, seriously delicious!",dessert representation perfect creme brûlée seriously delicious,7,1,1,1,,1
Indicative of the well thought contemplative concept.,indicative well thought contemplative concept,5,1,1,1,,1
The food is all excellent quality as you would expect.,food excellent quality would expect,5,1,1,1,,1
"The inside looks MUCH better now.. it's cleaner, looks nice, and has more space.",inside look much well cleaner look nice space,8,1,1,1,,1
I only took off one star because the waiter didn't put in our pizza order until 30 minutes after we ordered.,take one star waiter not put pizza order minute order,10,0,1,TO REVIEW,0,0
I would have ordered one number higher if I had known that.,would order one number high know,6,1,1,1,,1
I ordered a chicken salad sandwich on a croissant (pictured) and within minutes was told they were out of croissants.,order chicken salad sandwich croissant picture within minute told croissant,10,0,0,0,,0
"Really nice counter service for our to-go order, got a hodge podge of their menu.",really nice counter service togo order get hodge podge menu,10,1,1,1,,1
Not here...he happily gave us all separate checks and didn't make a single mistake.,not happily give u separate check not make single mistake,10,0,0,0,,0
"How can you serve ""sweet tea"" when the tea is not sweet???",serve sweet tea tea not sweet,6,1,1,1,,1
We tried to address the issue with the waiter to no avail.,try address issue waiter avail,5,0,1,TO REVIEW,0,0
Sows of all ethnicities are welcome at China One!,sow ethnicity welcome china one,5,1,1,1,,1
So I got a chicken salad sans chicken and potato skins sans bacon.,get chicken salad sans chicken potato skin sans bacon,9,0,0,0,,0
Constantly had to remind our server to refill waters.,constantly remind server refill water,5,0,1,TO REVIEW,0,0
"Here, you actually get some real street tacos.",actually get real street taco,5,0,1,TO REVIEW,1,1
We also sampled the $60.00 summer tasting menu.,also sample summer taste menu,5,0,1,TO REVIEW,1,1
"It was a fun experience, honestly it is overpriced and pricey but you're in Vegas at the Bellagio so what do you expect?",fun experience honestly overprice pricey vega bellagio expect,8,1,1,1,,1
"Had several questions regarding the meal, but our waiter was abrupt and was like ""Yes, you're getting it""  and walked off.",several question regard meal waiter abrupt like yes get walk,10,1,0,TO REVIEW,0,0
Seems like they have a bar also and serve top notch coffee.,seem like bar also serve top notch coffee,8,1,1,1,,1
I will be back to sample more of their extensive menu.,back sample extensive menu,4,0,1,TO REVIEW,1,1
But we tried to be understanding (despite the fact that the second couple was paying a babysitter 10 dollars an hour .,try understand despite fact second couple pay babysitter dollar hour,10,0,1,TO REVIEW,2,
I liked them both but the red was the most popular in our table.,like red popular table,4,1,1,1,,1
The gluten free guest was given an entree with no changes (meaning full of gluten).,gluten free guest give entree change meaning full gluten,9,1,1,1,,1
I'd perhaps steer you away from the steak if you have toured some of the finer local steak houses.,perhaps steer away steak tour finer local steak house,9,0,1,TO REVIEW,2,
It's great to find a restaurant that adds something different to their menu.,great find restaurant add something different menu,7,1,1,1,,1
The chef came out from the back and asked us what we needed after about 2 minutes.,chef come back ask u need minute,7,0,1,TO REVIEW,1,1
The hummus was okay as was the yogurt with cucumbers.,hummus okay yogurt cucumber,4,1,1,1,,1
I truly cannot believe that happened.,truly not believe happen,4,1,1,1,,1
I want to come back to taste the mofongo.,want come back taste mofongo,5,1,1,1,,1
Why sell someone a $200 gift certificate when you have to use it all at once or loose it?!!!!,sell someone gift certificate use loose,6,1,0,TO REVIEW,2,
The roast beef sandwich is also wonderful.,roast beef sandwich also wonderful,5,1,1,1,,1
You go here to have a raucous good time.,go raucous good time,4,1,1,1,,1
"The espresso was rather bitter and sour/acidic, which wasn't exactly what we were used to.",espresso rather bitter souracidic not exactly use,7,0,0,0,,0
They did present us with two beautifully prepared salads.,present u two beautifully prepared salad,6,1,1,1,,1
"It was 3 of us, and I can't eat seafood, so that was not for me.",u can not eat seafood not,6,0,1,TO REVIEW,2,
Tasted it and the meatballs were fresh and moist just how I like!,taste meatball fresh moist like,5,1,1,1,,1
It was pretty quite when we were there so I don't think there was any reason not to have superb service.,pretty quite not think reason not superb service,8,0,0,0,,0
The check was dropped off and credit cards were ran.,check drop credit card ran,5,1,1,1,,1
"The menu marks the stuff that is hot, and it is no joke, its HOT.",menu mark stuff hot joke hot,6,1,1,1,,1
I guess I'm going tone deaf.,guess go tone deaf,4,0,1,TO REVIEW,0,0
"If you go during happy hour on Friday or Saturday, be prepare for some loud music.",go happy hour friday saturday prepare loud music,8,1,1,1,,1
I was fine with it because the other roll I ordered did come but the roll that didn't was my favorite.,fine roll order come roll not favorite,7,0,1,TO REVIEW,0,0
"The plates aren't very big, so you can't pile everything on.",plate not big can not pile everything,7,0,1,TO REVIEW,0,0
Try to get there while the sun is still shining.,try get sun still shin,5,0,1,TO REVIEW,2,
Things are changing and there may not be total consistency yet.,thing change may not total consistency yet,7,0,1,TO REVIEW,0,0
I've had pretty much every pastry and they were and are always excellent!,pretty much every pastry always excellent,6,1,1,1,,1
The red velvet pancakes were so delightfully sweet and tasty that no syrup was needed.,red velvet pancake delightfully sweet tasty syrup need,8,1,1,1,,1
"We would never go back, especially when the wait help is the owner's son.",would never go back especially wait help owner son,9,1,1,1,,1
I made reservations for 4 two weeks ahead of time for seven pm on a Saturday.,make reservation two week ahead time seven pm saturday,9,0,1,TO REVIEW,2,
You can tell they spent time making this wonderful broth.,tell spent time make wonderful broth,6,1,1,1,,1
i cannot in fairness rate my experience on the service.,not fairness rate experience service,5,0,1,TO REVIEW,0,0
So he too left and we went home and cooked up some good food of our own.,left go home cooked good food,6,1,1,1,,1
in L.A.) there is this place that serves this and is known for this tasty delicacy.,la place serf know tasty delicacy,6,0,1,TO REVIEW,1,1
"Not likely to go back, unless it's to try their breakfast or dessert.",not likely go back unless try breakfast dessert,8,0,1,TO REVIEW,0,0
"Nothing too fancy or special, plain american food.",nothing fancy special plain american food,6,0,1,TO REVIEW,0,0
I tasted one of their cask selections and an Anchor Steam.,taste one cask selection anchor steam,6,0,1,TO REVIEW,2,
"However, it bothers the shit out of me when restaurants serve $10 burgers that don't come with a side of fries.",however bother shit restaurant serve burger not come side fry,10,0,0,0,,0
Ever seen Bobby Flay's throwdown on the food network?,ever see bobby flay throwdown food network,7,0,1,TO REVIEW,2,
"I ended up with a ""Southside"" which is really just a mojito.",end southside really mojito,4,0,1,TO REVIEW,2,
"The orange chicken I ordered last time might have been a fluke, because this chicken was juicy and delicious.",orange chicken order last time might fluke chicken juicy delicious,10,1,0,TO REVIEW,1,1
It gave a nice spiciness to the dish.,give nice spiciness dish,4,1,1,1,,1
"I see the woman who took my money pass by several times, no eye contact.",see woman take money pas several time eye contact,9,0,1,TO REVIEW,2,
"I got seated at 4:35pm and there was about 6 waiters working, and waited for at least 10 minutes for service.",get seat waiter work wait least minute service,8,0,0,0,,0
Topped with fresh grated parmesan and sliced green onions.,topped fresh grate parmesan slice green onion,7,1,1,1,,1
"My SO's ribeye, as he described it, was ""charcoal on a stick..."" My filet was kinda tough, dry and lacked flavor.",ribeye described charcoal stick filet kinda tough dry lack flavor,10,0,0,0,,0
Really hit the sweet spot of Vegas casual great food dining.,really hit sweet spot vega casual great food din,9,1,1,1,,1
My husband enjoyed the Kelly's Original Burger and had the tasty perfect onion straws with it.,husband enjoy kelly original burger tasty perfect onion straw,9,1,1,1,,1
Which the food runner then put under my friends pizza.,food runner put friend pizza,5,1,1,1,,1
I never did get pass it the whole time I was there.,never get pas whole time,5,0,1,TO REVIEW,1,1
They will make you feel right at home!!,make feel right home,4,0,1,TO REVIEW,1,1
just to keep you up to date on this horrible place.,keep date horrible place,4,0,0,0,,0
This restaurant will not last if they can't bring BIG flavors to the table.,restaurant not last can not bring big flavor table,9,0,1,TO REVIEW,0,0
"If you didn't stop reading my review after that last statement, thanks.",not stop reading review last statement thanks,7,1,1,1,,1
For example the Lamb based one @ Gilt in NY is top notch.,example lamb base one gilt ny top notch,8,1,0,TO REVIEW,1,1
"It was pretty good, thought it was a bit watered down but I like the spice.",pretty good thought bit water like spice,7,1,1,1,,1
It is a great place to have a sandwich that goes beyond your basic cold sandwich.,great place sandwich go beyond basic cold sandwich,8,1,1,1,,1
I've eaten here several times now because it's close to my house and the sushi is delicious.,eat several time close house sushi delicious,7,1,1,1,,1
Wanting a mid-day snack we walked into Serendipity (I also wanted to know what all the fuss was about).,want midday snack walk serendipity also want know fuss,9,1,1,1,,1
He also enjoyed the Savory Apple Bread Pudding.,also enjoy savory apple bread pudding,6,1,1,1,,1
"But, for a lighter meal, Shizen is a good option.",lighter meal shizen good option,5,1,1,1,,1
This is now one of my favorite places in Tempe.,one favorite place tempe,4,1,1,1,,1
Coffee was fabulous italian coffee and they bring an entire carafe to your table.,coffee fabulous italian coffee bring entire carafe table,8,1,1,1,,1
The atmosphere was loud and very fitting for the hard rock hotel but everything left me with buyers remorse.,atmosphere loud fitting hard rock hotel everything left buyer remorse,10,0,1,TO REVIEW,0,0
"After such a scrumpt-diddly-uptous meal, our bill seemed like a deal.",scrumptdiddlyuptous meal bill seem like deal,6,1,1,1,,1
And I know you'll feel much healthier after leaving this place!,know feel much healthier leave place,6,0,1,TO REVIEW,1,1
I often come to Vegas to visit my family and we were just looking for somewhere quick to eat.,often come vega visit family look somewhere quick eat,9,0,1,TO REVIEW,2,
sorry if I got it wrong) was out of this world!,sorry get wrong world,4,0,0,0,,0
"A bit pricey, but what isn't in Vegas?",bit pricey not vega,4,0,1,TO REVIEW,0,0
It was pretty ridiculous considering the growing line of customers behind me.,pretty ridiculous consider grow line customer behind,7,1,0,TO REVIEW,0,0
"Pizza by the slice, entire pies, sandwiches, salads and pasta.",pizza slice entire pie sandwich salad pasta,7,0,1,TO REVIEW,2,
The staff were friendly enough and the portion sizes were fairly decent.,staff friendly enough portion size fairly decent,7,1,1,1,,1
Everything should be top notch (especially at those prices).,everything top notch especially price,5,1,1,1,,1
"Apparently the steak taco is supposed to be very good, maybe i should have ordered that instead.",apparently steak taco suppose good maybe order instead,8,1,1,1,,1
"daughter:  s'more pancakes... and a side of egg
son:  spam scramble... it is what it is.. and it is goooood.",daughter smore pancake side eggson spam scramble goooood,8,0,1,TO REVIEW,2,
The desserts are homemade by a member of the Chefs family.,dessert homemade member chef family,5,0,1,TO REVIEW,2,
"Naco torta, satisfying and delicious.",naco torta satisfy delicious,4,1,1,1,,1
Honestly I couldn't believe this place was so packed.,honestly could not believe place packed,6,1,1,1,,1
"Overall, everything about the Tap Haus makes it a decent place, but rarely a destination spot.",overall everything tap haus make decent place rarely destination spot,10,0,1,TO REVIEW,1,1
The service was quick to respond and very friendly.,service quick respond friendly,4,1,1,1,,1
"), as she recommended us a bunch of speciality rolls, as well as how we should pace ourselves (i.e.",recommend u bunch speciality roll well pace ie,8,1,1,1,,1
"Spicy level is lacking if you're looking for real Szechuan, but this is probably more enjoyable for most taste buds.",spicy level lack look real szechuan probably enjoyable taste bud,10,1,1,1,,1
The service the first night seemed a little off at first but then it ended up being fine.,service first night seem little first end fine,8,1,1,1,,1
I sent it back and waited a good while until it came back the right way.,sent back wait good come back right way,8,1,1,1,,1
I also tried the Firkin Burger based on what I thought were several positive reviews here on Yelp.,also try firkin burger base thought several positive review yelp,10,1,0,TO REVIEW,1,1
If your in the Northwest area looking for a good pie and chill place Aurelio's has you covered.,northwest area look good pie chill place aurelio cover,9,1,1,1,,1
